time	coordination	charge	err	sec	mT
1085	3	0.6185777777777778	0.010216905202199457	1085	13.5625
1085	4	-1.2419555555555555	0.011655270705231945	1085	13.5625
1090	3	0.6231111111111111	0.010207750788511986	1090	13.625
1090	4	-1.2522666666666666	0.011627668400633064	1090	13.625
1095	3	0.6272	0.010178775765550471	1095	13.6875
1095	4	-1.2600888888888888	0.01156597302839702	1095	13.6875
1100	3	0.6330666666666667	0.010154064394588502	1100	13.75
1100	4	-1.272	0.01154432935194973	1100	13.75
1105	3	0.6390222222222223	0.01012967255706406	1105	13.8125
1105	4	-1.2849777777777778	0.011508228274540814	1105	13.8125
1110	3	0.6439111111111111	0.0101291730568617	1110	13.875
1110	4	-1.2938666666666667	0.01147732794708987	1110	13.875
1115	3	0.6511111111111111	0.010120413472695385	1115	13.9375
1115	4	-1.3093333333333332	0.011460462610975775	1115	13.9375
1120	3	0.656	0.010075049136794313	1120	14.0
1120	4	-1.319288888888889	0.011408492756942197	1120	14.0
1125	3	0.6613333333333333	0.01005482597616715	1125	14.0625
1125	4	-1.3297777777777777	0.011393040010008086	1125	14.0625
1130	3	0.6660444444444444	0.010045715610282493	1130	14.125
1130	4	-1.3397333333333334	0.011364225292524085	1130	14.125
1135	3	0.6724444444444444	0.010030686682868595	1135	14.1875
1135	4	-1.3518222222222223	0.011295159387629695	1135	14.1875
1140	3	0.676	0.010011380696750293	1140	14.25
1140	4	-1.3587555555555555	0.011258923893287413	1140	14.25
1145	3	0.6808	0.009985050443090842	1145	14.3125
1145	4	-1.3674666666666666	0.011233921316139666	1145	14.3125
1150	3	0.6867555555555556	0.009964528418880386	1150	14.375
1150	4	-1.380088888888889	0.011227535132589606	1150	14.375
1155	3	0.6928888888888889	0.009946433140114069	1155	14.4375
1155	4	-1.392	0.011157124428338534	1155	14.4375
1160	3	0.6987555555555556	0.009941695609663017	1160	14.5
1160	4	-1.402311111111111	0.011130128989671405	1160	14.5
1165	3	0.7034666666666667	0.0099093908831625	1165	14.5625
1165	4	-1.4122666666666666	0.011120457731595925	1165	14.5625
1170	3	0.7084444444444444	0.00989042150574408	1170	14.625
1170	4	-1.4208	0.01108630671149853	1170	14.625
1175	3	0.7128	0.009876502441780208	1175	14.6875
1175	4	-1.4295111111111112	0.011056569279445594	1175	14.6875
1180	3	0.7185777777777778	0.00988029398708885	1180	14.75
1180	4	-1.4394666666666667	0.011041792094014695	1180	14.75
1185	3	0.7218666666666667	0.00985601299425179	1185	14.8125
1185	4	-1.4474666666666667	0.011024666453646607	1185	14.8125
1190	3	0.7274666666666667	0.009826444359282165	1190	14.875
1190	4	-1.4599111111111112	0.010973287271489092	1190	14.875
1195	3	0.7329777777777777	0.009821910609664282	1195	14.9375
1195	4	-1.4691555555555555	0.010958651088715314	1195	14.9375
