p	x_c	y_c
686	92.70396258417429	-676.9901787352635
687	92.70396258417429	-713.5692600273504
688	231.75990646043567	-630.6381974431763
689	231.75990646043567	-667.2172787352633
690	185.40792516834858	-676.9901787352635
691	185.40792516834858	-713.5692600273504
692	324.46386904460996	-630.6381974431763
693	324.46386904460996	-667.2172787352633
694	278.1118877525228	-676.9901787352635
695	278.1118877525228	-713.5692600273504
696	417.16783162878426	-630.6381974431763
697	417.16783162878426	-667.2172787352633
698	370.81585033669717	-676.9901787352635
699	370.81585033669717	-713.5692600273504
700	509.87179421295855	-630.6381974431763
701	509.87179421295855	-667.2172787352633
702	463.51981292087135	-676.9901787352635
703	463.51981292087135	-713.5692600273504
704	602.5757567971327	-630.6381974431763
705	602.5757567971327	-667.2172787352633
706	556.2237755050456	-676.9901787352635
707	556.2237755050456	-713.5692600273504
708	695.279719381307	-630.6381974431763
709	695.279719381307	-667.2172787352633
710	648.9277380892199	-676.9901787352635
711	648.9277380892199	-713.5692600273504
712	787.9836819654813	-630.6381974431763
713	787.9836819654813	-667.2172787352633
714	741.6317006733943	-676.9901787352635
715	741.6317006733943	-713.5692600273504
716	880.6876445496556	-630.6381974431763
717	880.6876445496556	-667.2172787352633
718	834.3356632575685	-676.9901787352635
719	834.3356632575685	-713.5692600273504
720	46.351981292087146	-723.3421600273508
721	46.351981292087146	-759.9212413194377
722	0.0	-769.6941413194377
723	0.0	-806.2732226115248
724	139.0559438762614	-723.3421600273508
725	139.0559438762614	-759.9212413194377
726	92.70396258417429	-769.6941413194377
727	92.70396258417429	-806.2732226115248
728	231.75990646043567	-723.3421600273508
729	231.75990646043567	-759.9212413194377
730	185.40792516834858	-769.6941413194377
731	185.40792516834858	-806.2732226115248
732	324.46386904460996	-723.3421600273508
733	324.46386904460996	-759.9212413194377
734	278.1118877525228	-769.6941413194377
735	278.1118877525228	-806.2732226115248
736	417.16783162878426	-723.3421600273508
737	417.16783162878426	-759.9212413194377
738	370.81585033669717	-769.6941413194377
739	370.81585033669717	-806.2732226115248
740	509.87179421295855	-723.3421600273508
741	509.87179421295855	-759.9212413194377
742	463.51981292087135	-769.6941413194377
743	463.51981292087135	-806.2732226115248
744	602.5757567971327	-723.3421600273508
745	602.5757567971327	-759.9212413194377
746	556.2237755050456	-769.6941413194377
