Exp	frame	abs_C	err	time(s)	field(mT)	time	mT
30.0	65000	0.4046631578939056	0.0261726423487799	650.0	8.125	650.0	6.5
30.0	70000	0.4137052631571095	0.026670289625222846	700.0	8.75	700.0	7.0
30.0	75000	0.4245368421045291	0.027289562024339048	750.0	9.375	750.0	7.5
30.0	80000	0.4345157894730008	0.027844042149934682	800.0	10.0	800.0	8.0
30.0	85000	0.4481368421046381	0.02852867609103928	850.0	10.625	850.0	8.5
30.0	90000	0.4623473684204906	0.029281140699131306	900.0	11.25	900.0	9.0
30.0	95000	0.4773263157889885	0.029985269787243213	950.0	11.875	950.0	9.5
30.0	100000	0.4908363598079698	0.030596332641910876	1000.0	12.5	1000.0	10.0
30.0	105000	0.5048265698190602	0.03120403575155932	1050.0	13.125	1050.0	10.5
30.0	110000	0.5191894736838494	0.03181139846646715	1100.0	13.75	1100.0	11.0
30.0	60000	0.39796842105176106	0.025805020319833817	600.0	7.5	600.0	6.0
30.0	250000	0.650352668701901	0.03418708648217129	2500.0	25.0	2500.0	25.0
